Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1767450448,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1767450449,50,,Aggregated,0.000000,0.000000,880,920,940,950,960,970,990,990,990,990,990,23,0,880.0,883.5859241305471,610.7304580000346,985.1211249997505,386.0
1767450450,100,,Aggregated,0.000000,0.000000,840,910,970,1000,1200,1300,1600,1600,1700,1700,1700,106,0,820.0,784.4241694151264,147.29712500047754,1697.4068750005245,386.0
1767450451,150,,Aggregated,17.000000,0.000000,970,1100,1100,1200,1300,1600,2100,2500,2900,2900,2900,192,0,960.0,955.8327872864679,147.29712500047754,2857.870458999969,386.0
1767450452,200,,Aggregated,51.000000,0.000000,950,1000,1100,1100,1400,1700,1800,2100,3100,3100,3100,413,111,950.0,867.8405025084545,0.5272089993013651,3051.1917500007257,253.4915254237288
1767450453,200,,Aggregated,62.333333,0.000000,970,1000,1100,1200,1500,1700,2100,2400,3100,3100,3100,625,222,970.0,860.0584017823743,0.4715830000350252,3051.1917500007257,209.2256
1767450454,200,,Aggregated,99.750000,25.250000,990,1100,1200,1300,1600,1700,2100,2400,3500,3500,3500,860,343,990.0,868.3677892848524,0.4698330003520823,3500.690207999469,183.31976744186048
1767450455,200,,Aggregated,123.200000,42.800000,1000,1100,1200,1300,1600,1800,2200,2400,3500,4100,4100,1065,468,1000.0,894.0233323135909,0.4698330003520823,4131.895583000187,172.6431924882629
1767450456,200,,Aggregated,141.333333,56.000000,1000,1100,1200,1300,1700,1900,2300,2400,3500,4100,4100,1278,578,1000.0,895.2270128153199,0.4698330003520823,4131.895583000187,163.85524256651019
1767450457,200,,Aggregated,150.000000,65.571429,1000,1100,1200,1300,1700,1900,2200,2400,3500,4100,4100,1505,686,1000.0,884.6123349082893,0.4698330003520823,4131.895583000187,158.2079734219269
1767450458,200,,Aggregated,158.375000,71.500000,1000,1100,1200,1300,1700,1900,2200,2400,3500,4100,4100,1760,806,1000.0,879.8380881806706,0.4698330003520823,4131.895583000187,153.53125
1767450459,200,,Aggregated,165.444444,75.444444,1000,1100,1200,1300,1700,1900,2300,2400,3500,4100,4100,1985,924,1000.0,880.1458476836198,0.4698330003520823,4131.895583000187,150.8221662468514
1767450460,200,,Aggregated,174.500000,79.900000,1000,1100,1200,1400,1700,1900,2300,2400,3300,4100,4100,2185,1032,1000.0,884.9146921011362,0.4698330003520823,4131.895583000187,148.81052631578947
1767450461,200,,Aggregated,195.400000,91.700000,1000,1100,1200,1400,1700,1900,2300,2400,3300,4100,4100,2412,1143,1000.0,882.7271575265238,0.4698330003520823,4131.895583000187,146.05514096185738
1767450462,200,,Aggregated,207.300000,102.600000,1000,1100,1200,1400,1700,1900,2300,2400,3300,4100,4100,2649,1255,1000.0,878.7778494220389,0.4698330003520823,4131.895583000187,143.45300113250283
1767450463,200,,Aggregated,221.600000,113.700000,1000,1100,1200,1400,1700,1900,2300,2500,3300,4100,4100,2875,1370,1000.0,880.9758599999981,0.4698330003520823,4131.895583000187,141.5391304347826
1767450464,200,,Aggregated,223.700000,114.400000,1000,1100,1200,1400,1700,1900,2300,2500,3200,4100,4100,3091,1479,1000.0,880.786656474277,0.4698330003520823,4131.895583000187,140.386606276286
1767450465,200,,Aggregated,224.200000,114.800000,1000,1100,1200,1400,1700,1900,2300,2500,3200,4100,4100,3307,1598,1000.0,883.9303156549714,0.4698330003520823,4131.895583000187,140.62866646507408
1767450466,200,,Aggregated,222.700000,113.400000,1000,1100,1200,1400,1700,1900,2300,2600,3500,4100,4100,3529,1721,1000.0,887.9170585973354,0.4698330003520823,4131.895583000187,141.19863984131482
1767450467,200,,Aggregated,224.300000,113.200000,1000,1100,1200,1400,1700,1900,2300,2500,3500,4100,4100,3731,1835,1000.0,892.0733655762524,0.4698330003520823,4131.895583000187,141.2337175020102
1767450468,200,,Aggregated,225.200000,114.100000,1000,1100,1200,1400,1700,1900,2300,2600,3500,4100,4100,3976,1937,1000.0,886.0486938423019,0.4698330003520823,4131.895583000187,140.05206237424548
1767450469,200,,Aggregated,223.000000,114.800000,1000,1100,1200,1400,1700,1900,2300,2600,3500,4100,4100,4190,2054,1000.0,888.3370639842451,0.4698330003520823,4131.895583000187,139.64606205250595
1767450470,200,,Aggregated,221.300000,112.700000,1000,1100,1200,1400,1700,1900,2300,2600,3500,4100,4100,4407,2164,1000.0,886.141541688447,0.4698330003520823,4131.895583000187,138.98774676650783
1767450471,200,,Aggregated,220.300000,113.000000,1000,1100,1200,1400,1700,1900,2300,2600,3500,4100,4100,4648,2278,1000.0,885.8883553627352,0.4698330003520823,4131.895583000187,138.20998278829603
1767450472,200,,Aggregated,221.600000,112.800000,1100,1100,1200,1400,1700,1900,2300,2600,3500,4100,4100,4834,2388,1100.0,891.7451997776147,0.4698330003520823,4131.895583000187,138.2730657840298
1767450473,200,,Aggregated,223.100000,113.600000,1100,1100,1200,1400,1700,2000,2300,2600,3500,4100,4100,5062,2499,1100.0,890.7610285643956,0.4698330003520823,4131.895583000187,137.55235084946662
